Buy Date,DCA Amount,Historical Price,Sats,Fee,Total Invested,Total Sats
2023-04-22,1000.0,27817.5,3558910.7576166084,10.0,1000.0,3558910.7576166084
2023-05-22,1000.0,26851.27734375,3686975.4363117325,10.0,2000.0,7245886.19392834
2023-06-22,1000.0,29912.28125,3309677.358693597,10.0,3000.0,10555563.552621938
2023-07-22,1000.0,29771.802734375,3325294.100706002,10.0,4000.0,13880857.65332794
2023-08-22,1000.0,26031.65625,3803061.896993204,10.0,5000.0,17683919.550321143
2023-09-22,1000.0,26579.568359375,3724665.452103975,10.0,6000.0,21408585.00242512
2023-10-22,1000.0,29993.896484375,3300671.5233405232,10.0,7000.0,24709256.525765643
2023-11-22,1000.0,37432.33984375,2644771.8847725154,10.0,8000.0,27354028.41053816
2023-12-22,1000.0,43997.90234375,2250107.2716268525,10.0,9000.0,29604135.68216501
2024-01-22,1000.0,39507.3671875,2505861.7429541918,10.0,10000.0,32109997.425119203
2024-02-22,1000.0,51304.97265625,1929637.516100299,10.0,11000.0,34039634.9412195
2024-03-22,1000.0,63778.76171875,1552240.860940006,10.0,12000.0,35591875.80215951
